Description,Domain,Type,Purpose,Domain Rating,Type Rating,Purpose Rating,Complexity
Digital Marketing project involving email marketing for product launch.,Digital Marketing,email marketing,product launch,6,11,14,31
IT Support and Maintenance project involving system administration for remote assistance.,IT Support and Maintenance,system administration,remote assistance,6,13,12,31
Graphic Design project involving web design for event promotion.,Graphic Design,web design,event promotion,5,14,13,32
Game Development project involving multiplayer game development for game distribution platforms.,Game Development,multiplayer game development,game distribution platforms,8,19,15,42
Cybersecurity project involving firewall implementation for cloud security.,Cybersecurity,firewall implementation,cloud security,9,14,16,39
Video Editing project involving motion graphics for social media campaign.,Video Editing,motion graphics,social media campaign,5,15,10,30
IT Support and Maintenance project involving remote technical support for remote assistance.,IT Support and Maintenance,remote technical support,remote assistance,6,10,12,28
Web Development project involving Content management system for business website.,Web Development,Content management system,business website,7,13,12,32
Content Writing project involving blog post for product reviews.,Content Writing,blog post,product reviews,4,7,10,21
Content Writing project involving article for company updates.,Content Writing,article,company updates,4,8,11,23
Mobile App Development project involving Cross-platform app for ride-sharing.,Mobile App Development,Cross-platform app,ride-sharing,8,16,18,42
Cybersecurity project involving incident response for system hardening.,Cybersecurity,incident response,system hardening,9,16,17,42
Blockchain project involving cryptocurrency development for decentralized finance (DeFi).,Blockchain,cryptocurrency development,decentralized finance (DeFi),9,20,20,49
Graphic Design project involving flyer design for product packaging.,Graphic Design,flyer design,product packaging,5,10,14,29
Web Development project involving Web portal for online community.,Web Development,Web portal,online community,7,16,14,37
UI/UX Design project involving interactive design for mobile app design.,UI/UX Design,interactive design,mobile app design,6,15,16,37
Mobile App Development project involving Cross-platform app for user authentication.,Mobile App Development,Cross-platform app,user authentication,8,16,12,36
IT Support and Maintenance project involving hardware diagnostics for end-user support.,IT Support and Maintenance,hardware diagnostics,end-user support,6,13,11,30
Mobile App Development project involving Native app for task management.,Mobile App Development,Native app,task management,8,17,13,38
Graphic Design project involving flyer design for print media.,Graphic Design,flyer design,print media,5,10,12,27
Artificial Intelligence project involving machine learning for autonomous vehicles.,Artificial Intelligence,machine learning,autonomous vehicles,10,17,20,47
Web Development project involving E-commerce website for portfolio showcase.,Web Development,E-commerce website,portfolio showcase,7,18,10,35
